YEAR,TEAM NO,TEAM,SEED,ROUND,RPPF RATING RANK,RPPF RATING,NPB RATING RANK,NPB RATING,RADJ O RANK,RADJ O,RADJ D RANK,RADJ D,RADJ EM RANK,RADJ EM,R SOS RANK,R SOS,STROE RANK,STROE,STRDE RANK,STRDE,STRT+ RANK,STREM RANK,STREM
2024,1012,Yale,13,32,82,0.7648,89,0.8386,7,119.5,15,93.7,,25.8,26,0.7562,121,81.59,137,98.98,102,76,-17.39
2023,1011,Alabama,1,16,3,0.9631,3,0.9755,23,114,34,94.4,,19.6,64,0.6812,9,98.16,2,71.67,3,4,26.49
2023,1010,Arizona,2,64,5,0.9543,6,0.9578,18,114.2,24,91.7,,22.5,47,0.7353,2,104.94,15,82.99,8,12,21.95
2023,1009,Arizona St.,11,64,56,0.8075,65,0.8636,56,112.2,11,92.7,,19.5,78,0.6818,117,80.04,24,84.75,40,71,-4.71
2023,1008,Arkansas,8,16,16,0.8882,19,0.9111,61,111.5,10,91.8,,19.7,54,0.7159,36,88.89,11,81.85,11,24,7.04
2023,1007,Auburn,9,32,24,0.8646,29,0.8904,43,110.9,55,96.1,,14.8,10,0.7264,49,87.23,26,85.36,26,32,1.87
2023,1006,Baylor,3,32,15,0.8885,24,0.8987,35,117.3,42,98.1,,19.2,30,0.7484,6,100.78,112,96.22,62,15,4.56
2023,1005,Boise St.,10,64,41,0.8348,31,0.89,12,121.1,27,97.1,,24,30,0.7527,88,82.52,27,85.45,22,29,-2.93
2023,1004,Colgate,15,64,100,0.7314,104,0.817,25,115.2,19,94.1,,21.1,10,0.7755,54,86.78,220,104.92,163,113,-18.14
2023,1003,College of Charleston,12,64,71,0.7913,50,0.8733,121,105.6,16,91.8,,13.8,39,0.6995,44,87.88,45,88.95,58,76,-1.07
2023,1002,Connecticut,4,1,2,0.964,1,0.9852,14,115.1,38,93.5,,21.6,52,0.7311,10,97.82,20,83.84,7,6,13.98
2023,1001,Creighton,6,8,14,0.8917,16,0.9196,25,117.2,64,99.2,,18,37,0.7358,22,91.24,13,82.64,8,14,8.6
2023,1000,Drake,12,64,69,0.7936,76,0.8523,31,116.3,41,96.1,,20.2,34,0.7273,112,80.45,58,91.04,57,61,-10.59
