feature,perm_imp,shap_imp,norm_perm,norm_shap,combined
DIFF_RAW T,0.0003165692414862214,0.016150708217173813,0.15464587790305095,0.03989913276672774,0.09727250533488935
DIFF_PPPO,0.0002457049417061108,0.025199240632355215,0.13069199969513942,0.06297807699289872,0.09683503834401908
DIFF_3PTRD,0.00034901568057752244,0.011166051682084798,0.16561357324026763,0.027185401425397097,0.09639948733283236
DIFF_BLK%,8.3257105208428e-05,0.04543534182012081,0.07578063102743726,0.11459173424012552,0.0951861826337814
DIFF_PROG_F4%,0.00021338139834494954,0.025657772505655884,0.11976584614075522,0.06414759609768447,0.09195672111921985
DIFF_EFF HGT,5.987479972909655e-05,0.044707149174064396,0.06787683603602342,0.11273442559678716,0.09030563081640529
DIFF_TR LUCK,3.920635969342446e-05,0.04284641519188881,0.060890394387714514,0.10798848738007465,0.08443944088389457
DIFF_SEED_W,0.00022864209853207528,0.016122399969026445,0.12492433856619596,0.039826930507824675,0.08237563453701031
DIFF_SEED_CHAMP%,0.0002728360585379336,0.009297806094400585,0.139862985230179,0.022420304309027916,0.08114164476960346
DIFF_EFG%,0.00012152126430406035,0.02434938782826066,0.08871485897506431,0.06081046521165054,0.07476266209335743
DIFF_2PT%,4.337498286011988e-05,0.033598851412534714,0.062299491661511705,0.08440189909161423,0.07335069537656297
DIFF_LOC TIME ZONES CROSSED VALUE,0.00021090283725928974,0.011243366403505206,0.11892803146452205,0.02738259828137894,0.07315531487295049
DIFF_CONF_CHAMP%,8.956608041140456e-05,0.026559187658131124,0.07791321999110118,0.06644672142254902,0.07217997070682511
DIFF_CONF_W,2.0012996141514633e-05,0.034585335198789834,0.05440256491152946,0.08691799819347587,0.07066028155250266
DIFF_PROXIMITY ADVANTAGE,0.00014246597394110218,0.015053090313449502,0.09579468655118584,0.037099577963873864,0.06644713225752985
DIFF_K TEMPO,6.408406041722826e-05,0.024905952624976635,0.06929966979267836,0.062230024463060994,0.06576484712786967
DIFF_TOV%,8.118819655659027e-05,0.02246384359896183,0.07508128896065337,0.05600124664368082,0.0655412678021671
DIFF_NEUTRAL BADJ D,4.10602827479911e-05,0.026754277292639017,0.061517066029058994,0.06694431181481614,0.06423068892193756
DIFF_3PTR,0.00013446693665709831,0.011719154845923185,0.09309081498996073,0.028596131528781373,0.060843473259371054
DIFF_2PT%D,7.24619442720459e-05,0.019182634167373182,0.07213160082312728,0.047632281822494134,0.0598819413228107
DIFF_RES Q3 Q4 L,0.00012576133085520579,0.012063660100102425,0.09014810587194656,0.029474817395396147,0.059811461633671355
DIFF_PPPD,5.111774158151837e-05,0.021931717451661826,0.06491673475826322,0.05464401995637632,0.05978037735731977
DIFF_CONF_GAMES,3.250805081731979e-05,0.022569571435451508,0.05862620105602202,0.0562709132293257,0.05744855714267386
DIFF_BLKED%,3.078751059522432e-05,0.021865504048764705,0.05804461609632057,0.05447513782584168,0.056259876961081125
DIFF_SEED_L,0.00013172226535040907,0.006706632091663778,0.09216304850662302,0.015811325355807457,0.053987186931215236
DIFF_OP OREB%,0.00011121768628827248,0.009013983933255077,0.08523199590209608,0.0216963951128539,0.05346419550747499
DIFF_2PTR,-4.131623358869242e-05,0.02738838903605938,0.03367177516124776,0.0685616602297928,0.051116717695520286
DIFF_LOC TIME ZONES CROSSED,0.00010303446927001302,0.008059143950231374,0.08246586705565946,0.019261005847280903,0.05086343645147018
DIFF_RES BID TYPE AUTO,0.00011264131042632631,0.006135319243185222,0.08571321591446619,0.014354150118902797,0.050033683016684496
DIFF_L,7.180682809986236e-05,0.011288640042766928,0.07191015542609082,0.027498072012089567,0.04970411371909019
