YEAR,TEAM NO,TEAM ID,TEAM,SEED,ROUND,CONF,CONF ID,SEED_PAKE,SEED_PAKE RANK,SEED_PASE,SEED_PASE RANK,SEED_GAMES,SEED_W,SEED_L,SEED_WIN%,SEED_R64,SEED_R32,SEED_S16,SEED_E8,SEED_F4,SEED_F2,SEED_CHAMP,SEED_TOP2,SEED_CHAMP%,PROG_PAKE,PROG_PAKE RANK,PROG_PASE,PROG_PASE RANK,PROG_GAMES,PROG_W,PROG_L,PROG_WIN%,PROG_R64,PROG_R32,PROG_S16,PROG_E8,PROG_F4,PROG_F2,PROG_CHAMP,PROG_TOP2,PROG_F4%,PROG_CHAMP%,CONF_PAKE,CONF_PAKE RANK,CONF_PASE,CONF_PASE RANK,CONF_GAMES,CONF_W,CONF_L,CONF_WIN%,CONF_R64,CONF_R32,CONF_S16,CONF_E8,CONF_F4,CONF_F2,CONF_CHAMP,CONF_TOP2,CONF_CHAMP%
2025,1105,134,Norfolk St.,16,64,MEAC,18,-1.1,9,1.2,9,66,2,64,0.03,64,2,0,0,0,0,0,0,0.0,0.8,44.0,0.9,44.0,4.0,1.0,3.0,0.25,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,15,0.4,15,12,1,11,0.083,11,1,0,0,0,0,0,0,0.0
2025,1104,135,North Carolina,11,64,ACC,2,15.3,2,15.7,1,122,58,64,0.475,64,32,16,6,4,0,0,0,0.11699999999999999,11.7,1.0,8.5,4.0,53.0,41.0,12.0,0.774,14.0,13.0,10.0,7.0,5.0,4.0,2.0,9.0,0.9670000000000001,0.556,17.5,1,12.4,1,247,157,90,0.636,95,65,43,25,12,7,5,27,0.953
2025,1103,153,Oklahoma,9,64,SEC,28,-1.3,10,2.6,8,106,42,64,0.396,64,31,5,4,2,0,0,0,0.12300000000000001,1.4,33.0,0.8,48.0,21.0,12.0,9.0,0.571,9.0,6.0,3.0,2.0,1.0,0.0,0.0,2.0,0.46299999999999997,0.091,2.7,6,4.4,6,193,111,82,0.575,83,51,30,19,8,2,1,14,0.879
2025,1102,157,Oregon,5,32,B10,6,-10.1,15,-1.8,11,136,72,64,0.529,64,38,20,7,5,2,0,0,0.506,5.5,7.0,6.1,7.0,25.0,16.0,9.0,0.64,9.0,8.0,5.0,2.0,1.0,0.0,0.0,1.0,0.436,0.083,1.5,10,4.5,5,250,146,104,0.584,104,76,39,16,10,5,0,20,0.924
2025,1101,167,Purdue,4,16,B10,6,2.6,7,3.3,5,166,103,63,0.62,64,49,34,11,6,2,1,0,0.7440000000000001,-2.6,224.0,-2.7,224.0,35.0,21.0,14.0,0.6,14.0,10.0,7.0,2.0,1.0,1.0,0.0,3.0,0.857,0.32299999999999995,1.5,10,4.5,5,250,146,104,0.584,104,76,39,16,10,5,0,20,0.924
2025,1100,171,Robert Morris,15,64,Horz,14,4.1,4,5.4,2,76,12,64,0.158,64,7,4,1,0,0,0,0,0.0,-0.2,126.0,-0.2,128.0,3.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3,7.9,2,30,13,17,0.433,17,5,2,2,2,2,0,0,0.037000000000000005
2025,1099,254,Saint Francis,16,68,NEC,21,-1.1,9,1.2,9,66,2,64,0.03,64,2,0,0,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,0.3,11,0.6,13,11,1,10,0.091,10,1,0,0,0,0,0,0,0.0
2025,1098,175,Saint Mary's,7,32,WCC,33,3.2,6,2.6,7,123,60,63,0.488,64,39,12,4,3,1,1,0,0.217,-4.1,238.0,-2.8,227.0,14.0,5.0,9.0,0.357,9.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.33,0.059000000000000004,-2.8,28,0.1,19,70,40,30,0.571,30,20,11,5,2,2,0,6,0.71
2025,1097,179,San Diego St.,11,68,MWC,20,15.3,2,15.7,1,122,58,64,0.475,64,32,16,6,4,0,0,0,0.11699999999999999,0.8,45.0,1.1,39.0,24.0,13.0,11.0,0.542,11.0,6.0,4.0,1.0,1.0,1.0,0.0,1.0,0.473,0.10400000000000001,-12.5,32,-15.6,31,65,23,42,0.354,42,14,6,1,1,1,0,1,0.185
2025,1096,255,SIU Edwardsville,16,64,OVC,22,-1.1,9,1.2,9,66,2,64,0.03,64,2,0,0,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,0.1,17,0.1,17,20,5,15,0.25,15,5,0,0,0,0,0,0,0.003
